Spec.No.,S.W.No.,Mass_Single,Fam_Genus,species,Date,County,Location,Grid ref,Sex,Length Imp.,Length Met.,Condition,in Collections,year,sequ,lett,Entered,Updated,Count,MCS,BMNH,Rect.CoNAord.,Latitude,Longitude,Other refs,age,Old County,GRef Source,By Catch,Rep.Source,SMRU animal,SMRU No,RLaw,IoZ London,JBaker,VSimpson,CBRU,RJReid,NMS No,Irish,Other,Comb_other_ref,Year_val,Month_val,Day_val,Aggregated_Date,Name Common,Name Current Sci ,Beak Len (m),Beak-Blowhole(m),Snout-mid BF (m),Tail-mid BF (m),BF base Len (m),BF max Height(m),Tail span (m),Tail Depth (m),Tail Curve (m),Keel/T.Stock (m),Flipper Len (m),Flipper Wid (m),Body Girth (m),Gen Slit Len (m),Gen Slit-anus(m),Teeth Top Jaw,Teeth Low Jaw,Teeth Diam mm,Baleen Plate clr,Baleen Fring clr,Country Code,C.of Death,Parasites,Comment
2945,1972/2,S,Lagenorhynchus,albirostris,18-Jan-72,"Caithness, Scotland","Dunbeath beach, S. side of harbour",ND16002900,M,9'6'',2.9m*,NA,NA,1972,2,NA,02-Nov-90,23-Dec-08,173,ZK0059,ZK0059,31600092900,58.24200825,-3.430969855,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,1,18,19720118,WhiteNAbeaked dolphin,Lagenorhynchus albirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,White-beaked Dolphin
2946,1972/4,S,Lagenorhynchus,albirostris,31-Jan-72,Lincolnshire,Theddlethorpe,TF47008800,M,9'0'',2.74m*,NA,NA,1972,4,NA,02-Nov-90,23-Dec-08,174,ZK0059,ZK0059,54700038800,53.36812443,0.209628544,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,1,31,19720131,WhiteNAbeaked dolphin,Lagenorhynchus albirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,White-beaked Dolphin
2947,1972/5,S,Lagenorhynchus,albirostris,07-Feb-72,Lincolnshire,Theddlethorpe,TF47018800,M,9'7'',2.92m*,NA,NA,1972,5,NA,02-Nov-90,23-Dec-08,175,ZK0059,ZK0059,54701038800,53.36812165,0.209778737,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,2,7,19720207,WhiteNAbeaked dolphin,Lagenorhynchus albirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,White-beaked Dolphin
2948,1972/6,S,Delphinus,delphis,23-Jan-72,Lincolnshire,"Pts.of Lindsey, Skegness",TF56026299,M,6'11.5'',2.12m*,alive,NA,1972,6,NA,02-Nov-90,23-Dec-08,849,ZK0048,ZK0048,55602036299,53.14089047,0.332831717,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,1,23,19720123,Common dolphin,Delphinus delphis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Common dolphin
2949,1972/7,S,Phocoena,phocoena,Feb-72,Northumberland,Seaton Point,NZ32007600,NA,ca4',ca1.22m*,NA,NA,1972,7,NA,02-Nov-90,23-Dec-08,2420,ZK0085,ZK0085,43200057600,55.07735801,-1.49873859,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,2,14,19720214,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Common Porpoise
2950,1972/8,S,Balaenoptera,acutorostrata,02-Apr-72,Cornwall,"Poldu beach, Mullion",SW67011900,NA,15'+,4.57m+*,dead,NA,1972,8,NA,02-Nov-90,23-Dec-08,450,ZK0132,ZK0132,16701001900,50.02485354,-5.25329707,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,4,2,19720402,Minke whale,Balaenoptera acutorostrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Lesser Rorqual
2951,1972/9,S,Lagenorhynchus,albirostris,19-Apr-72,Lincolnshire,Skidbrooke,TF43009300,M,10'1'',3.07m*,NA,NA,1972,9,NA,02-Nov-90,23-Dec-08,176,ZK0059,ZK0059,54300039300,53.41413833,0.15181482,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,4,19,19720419,WhiteNAbeaked dolphin,Lagenorhynchus albirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,White-beaked Dolphin
2952,1972/10,M,Phocoena,phocoena,29-May-72,"Pembrokeshire, Wales","Broad Haven, Haverfordwest",SM86011300,NA,4'7'',1.4m*,decayed,NA,1972,10,NA,02-Nov-90,23-Dec-08,2421,ZK0085,ZK0085,18601021300,51.77424376,-5.102165879,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,5,29,19720529,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,NA,Common Porpoise
2953,1972/10,M,Phocoena,phocoena,29-May-72,"Pembrokeshire, Wales","Broad Haven, Haverfordwest",SM86011301,NA,2'8'',0.81m*,decayed,NA,1972,10,NA,02-Nov-90,23-Dec-08,2422,ZK0085,ZK0085,18601021301,51.77433355,-5.102172041,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,5,29,19720529,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,NA,Common Porpoise
2954,1972/11,S,Tursiops,truncatus,28-May-72,Essex,Walton-on-the-Naze,TM25022099,NA,12'0'',3.66m*,NA,NA,1972,11,NA,02-Nov-90,23-Dec-08,2848,ZK0053,ZK0053,62502022099,51.84164866,1.266979482,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,5,28,19720528,BottleNAnosed dolphin,Tursiops truncatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Bottle-nosed Dolphin
