#,Event Date,Year ,Species,Name.Current.Sci,Location,County/Region,GPS Lat,GPS Long,GridRef,Record ID,Stranding ID,Observer,Live Stranding
3008,18/03/1990,1990,harbour porpoise,Phocoena phocoena,Tramore,Co. Waterford,52.1491,-7.1242,,1204,1990_022,Smiddy INJ 23(8) -  329-330., NO
3009,18/03/1990,1990,harbour porpoise,Phocoena phocoena,Tramore,Co. Waterford,52.1491,-7.1242,,1205,1990_023,Smiddy INJ 23(8) -  329-330., NO
3010,16/03/1990,1990,sperm whale,Physeter macrocephalus ,Carrickfinn Strand,Co. Donegal,55.0539,-8.3293,,2011,1990_020,Fairley INJ 23(8) -  328-329., NO
3011,15/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Spiddal,Co. Galway,53.2333,-9.2833,,1396,1990_019,Fairley & MacLoughlin INJ 23(8) -  333., NO
3012,11/03/1990,1990,fin whale,Balaenoptera physalus,Ram Head Ardmore,Co. Waterford,51.9722,-7.6951,,2054,1990_018,Smiddy INJ 23(8) -  328., NO
3013,10/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Waterville,Co. Kerry,51.82,-10.17,,3006,1990_017,Rosemary Hill, NO
3014,07/03/1990,1990,pilot whale,Globicephala melas,Galway Bay,Co. Galway,53.2087,-8.9736,,1849,1990_016,Fairley & MacLoughlin INJ 23(8) -  331., NO
3015,07/03/1990,1990,harbour porpoise,Phocoena phocoena,Inch Strand Nr. Power Head,Co. Cork,51.7927,-8.1891,,1201,1990_013,Smiddy INJ 23(8) -  329-330., NO
3016,07/03/1990,1990,harbour porpoise,Phocoena phocoena,Inch Strand Nr. Power Head,Co. Cork,51.7927,-8.1891,,1202,1990_014,Smiddy INJ 23(8) -  329-330., NO
3017,07/03/1990,1990,common dolphin,Delphinus delphis,Shanagarry East Cork,Co. Cork,51.8018,-8.1167,,1508,1990_015,Smiddy INJ 23(8) -  335., NO
3018,03/03/1990,1990,pilot whale,Globicephala melas,Sherkin Island,Co. Cork,51.479,-9.3969,,1848,1990_012,Berrow & Barnett INJ 23(8) -  330-331., NO
3019,26/02/1990,1990,pilot whale,Globicephala melas,Ownahincha,Co. Cork,51.5644,-8.9381,,1847,1990_011,Berrow & Barnett INJ 23(8) -  330-331., NO
3020,20/02/1990,1990,pilot whale,Globicephala melas,Barley Cove,Co. Cork,51.4649,-9.7707,,1846,1990_010,Berrow & Barnett INJ 23(8) -  330-331., NO
3021,19/02/1990,1990,pilot whale,Globicephala melas,Achill Island,Co. Mayo,53.9577,-10.1184,,1842,1990_009,OÕShea -  Kingston & Fairley INJ 23(8) -  332., NO
3022,19/02/1990,1990,striped dolphin,Stenella coeruleoalba,Achill Island,Co. Mayo,53.9653,-10.195,,1679,1990_008,OÕShea -  Kingston & Fairley INJ 23(8) -  337., NO
3023,13/02/1990,1990,pilot whale,Globicephala melas,Galway Bay,Co. Galway,53.2423,-9.229,,1845,1990_007,Fairley -  MacLoughlin & OÕSullivan INJ 23(8) -  331., NO
3024,09/02/1990,1990,pilot whale,Globicephala melas,Toormore Bay Roaringwater Bay,Co. Cork,51.5119,-9.6284,,1844,1990_006,Berrow & Barnett INJ 23(8) -  330-331., NO
3025,08/02/1990,1990,pilot whale,Globicephala melas,Tragumna Bay,Co. Cork,51.4984,-9.2679,,1843,1990_005,Berrow & Barnett INJ 23(8) -  330-331., NO
