,S.W.No.,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date
1294,1935/49,Pseudorca crassidens,False killer whale,53.4758,0.1739,Lincolnshire,1935,16/11/1935
1295,1935/49,Pseudorca crassidens,False killer whale,53.4758,0.1739,Lincolnshire,1935,16/11/1935
1296,1935/49,Pseudorca crassidens,False killer whale,53.4758,0.1739,Lincolnshire,1935,16/11/1935
1297,1935/49,Pseudorca crassidens,False killer whale,53.4758,0.1739,Lincolnshire,1935,16/11/1935
1298,1935/49,Pseudorca crassidens,False killer whale,53.4758,0.1739,Lincolnshire,1935,16/11/1935
1299,1935/49,Pseudorca crassidens,False killer whale,53.4758,0.1739,Lincolnshire,1935,16/11/1935
1300,1935/49,Pseudorca crassidens,False killer whale,53.4758,0.1739,Lincolnshire,1935,16/11/1935
1301,1935/51,Pseudorca crassidens,False killer whale,52.7853,0.3747,Norfolk,1935,18/11/1935
1302,1935/51,Pseudorca crassidens,False killer whale,52.7853,0.3747,Norfolk,1935,18/11/1935
1303,1935/51,Pseudorca crassidens,False killer whale,52.7853,0.3747,Norfolk,1935,18/11/1935
1304,1935/51,Pseudorca crassidens,False killer whale,52.7853,0.3747,Norfolk,1935,18/11/1935
1305,1935/51,Pseudorca crassidens,False killer whale,52.7853,0.3747,Norfolk,1935,18/11/1935
1306,1935/51,Pseudorca crassidens,False killer whale,52.7853,0.3747,Norfolk,1935,18/11/1935
1307,1935/51,Pseudorca crassidens,False killer whale,52.7853,0.3747,Norfolk,1935,18/11/1935
1308,1935/51,Pseudorca crassidens,False killer whale,52.7853,0.3747,Norfolk,1935,18/11/1935
1309,1935/52,Pseudorca crassidens,False killer whale,53.9115,-0.1584,Yorkshire,1935,18/11/1935
1310,1935/53,Phocoena phocoena,Harbour porpoise,52.6498,1.7343,Norfolk,1935,23/11/1935
1311,1935/53,Phocoena phocoena,Harbour porpoise,52.6498,1.7343,Norfolk,1935,23/11/1935
1312,1935/54,Unknown,Unknown,52.1397,-7.2793,Co. Waterford,1935,25/11/1935
1313,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1314,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1315,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1316,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1317,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1318,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1319,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1320,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1321,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
1322,1935/55,Pseudorca crassidens,False killer whale,56.4974,-2.7052,"Angus, Scotland",1935,27/11/1935
