"","X","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"15768",18395,"2013/112","Phocoena phocoena","harbour porpoise",55.01,-8.45,"Co. Donegal",2013,"03/07/2013"
"15769",18396,"SW2013/351","Balaenoptera acutorostrata","Minke whale",51.45527778,0.3511111,"Essex",2013,"04/07/2013"
"15770",18397,"SW2013/370","Delphinus delphis","Short-beaked common dolphin",51.59583333,-4.2961111,"Swansea",2013,"04/07/2013"
"15771",18398,"SW2013/372","Phocoena phocoena","Harbour porpoise",55.75166667,-4.9502778,"North Ayrshire",2013,"04/07/2013"
"15772",18399,"SW2013/373","Phocoena phocoena","Harbour porpoise",51.44555556,-3.6063889,"Vale of Glamorgan",2013,"05/07/2013"
"15773",18400,"SW2013/468","Lagenorhynchus albirostris","White-beaked dolphin",56.5475,-6.1333333,"Argyll and Bute",2013,"05/07/2013"
"15774",18402,"SW2013/352","Balaenoptera acutorostrata","Minke whale",53.4825,-3.0811111,"Liverpool",2013,"06/07/2013"
"15775",18403,"SW2013/374","Phocoena phocoena","Harbour porpoise",52.49138889,-4.0525,"Ceredigion",2013,"06/07/2013"
"15776",18404,"SW2013/353","Lagenorhynchus albirostris","White-beaked dolphin",55.33333333,-1.5625,"Northumberland",2013,"07/07/2013"
"15777",18405,"SW2013/376","Phocoena phocoena","Harbour porpoise",57.27111111,-2.0208333,"Aberdeenshire",2013,"07/07/2013"
"15778",18406,"SW2013/354","Phocoena phocoena","Harbour porpoise",53.42194444,-3.1022222,"Wirral",2013,"08/07/2013"
"15779",18407,"SW2013/634","Balaenoptera acutorostrata","Minke whale",57.52555556,-7.6505556,"Western Isles",2013,"08/07/2013"
"15780",18408,"SW2013/377","Balaenoptera acutorostrata","Minke whale",58.59694444,-3.52,"Highland",2013,"09/07/2013"
"15781",18409,"2013/116","Phocoena phocoena","harbour porpoise",51.58,-8.84,"Co. Cork",2013,"09/07/2013"
"15782",18411,"SW2013/375","Balaenoptera acutorostrata","Minke whale",54.26972222,-0.3516667,"North Yorkshire",2013,"10/07/2013"
