"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"4243","SW2012/203","Phocoena phocoena","Harbour porpoise",56.72694444,-2.4419444,"Angus",2012,"10/05/2012"
"4244","SW2012/573","Globicephala melas","Long-finned pilot whale",59.25916667,-2.89,"Orkney",2012,"13/05/2012"
"4245","SW2012/233","Physeter macrocephalus","Sperm whale",57.88472222,-7.0069444,"Western Isles",2012,"17/05/2012"
"4246","SW2012/211","Physeter macrocephalus","Sperm whale",57.55638889,-7.4355556,"Western Isles",2012,"18/05/2012"
"4247","SW2012/252","Phocoena phocoena","Harbour porpoise",56.35666667,-2.81,"Fife",2012,"05/06/2012"
"4248","SW2012/247","Phocoena phocoena","Harbour porpoise",58.49138889,-3.1277778,"Highland",2012,"10/06/2012"
"4249","SW2012/236","Orcinus orca","Killer whale",58.62138889,-3.6502778,"Highland",2012,"10/06/2012"
"4250","SW2012/248","Phocoena phocoena","Harbour porpoise",57.15083333,-2.0752778,"City of Aberdeen",2012,"13/06/2012"
"4251","SW2012/249","Phocoena phocoena","Harbour porpoise",57.67138889,-2.3427778,"Aberdeenshire",2012,"13/06/2012"
"4252","SW2012/253","Phocoena phocoena","Harbour porpoise",56.77194444,-2.4033333,"Aberdeenshire",2012,"15/06/2012"
"4253","SW2012/264","Delphinus delphis","Short-beaked common dolphin",57.25305556,-5.8586111,"Highland",2012,"18/06/2012"
"4254","SW2012/265","Hyperoodon ampullatus","Northern bottlenose whale",57.66583333,-3.0116667,"Aberdeenshire",2012,"18/06/2012"
"4255","SW2012/255","Lagenorhynchus albirostris","White-beaked dolphin",55.68694444,-1.8113889,"Northumberland",2012,"19/06/2012"
"4256","SW2012/282","Ziphius cavirostris","Cuvier's beaked whale",56.29111111,-6.3738889,"Argyll and Bute",2012,"20/06/2012"
"4257","SW2012/286","Delphinus delphis","Short-beaked common dolphin",57.25138889,-5.8619444,"Highland",2012,"20/06/2012"
"4258","SW2012/272","Phocoena phocoena","Harbour porpoise",55.63722222,-5.1386111,"North Ayrshire",2012,"25/06/2012"
"4259","SW2012/273","Megaptera novaeangliae","Humpback whale",56.59083333,-2.5202778,"Angus",2012,"29/06/2012"
"4260","SW2012/274","Lagenorhynchus albirostris","White-beaked dolphin",58.35472222,-6.1983333,"Western Isles",2012,"01/07/2012"
"4261","SW2012/275","Phocoena phocoena","Harbour porpoise",57.41194444,-1.8527778,"Aberdeenshire",2012,"02/07/2012"
"4262","SW2012/281","Balaenoptera acutorostrata","Minke whale",57.65777778,-6.0341667,"Highland",2012,"03/07/2012"
"4263","SW2012/289","Phocoena phocoena","Harbour porpoise",57.66972222,-3.5119444,"Moray",2012,"09/07/2012"
"4264","SW2012/290","Lagenorhynchus albirostris","White-beaked dolphin",57.66972222,-2.3483333,"Aberdeenshire",2012,"11/07/2012"
"4265","SW2012/298","Lagenorhynchus albirostris","White-beaked dolphin",59.00944444,-3.1025,"Orkney",2012,"16/07/2012"
"4266","SW2012/310","Balaenoptera acutorostrata","Minke whale",58.22111111,-6.7697222,"Western Isles",2012,"17/07/2012"
"4267","SW2012/312","Lagenorhynchus acutus","Atlantic white-sided dolphin",56.765,-6.0211111,"Highland",2012,"20/07/2012"
"4268","SW2012/313","Phocoena phocoena","Harbour porpoise",57.71722222,-3.2758333,"Moray",2012,"21/07/2012"
"4269","SW2012/348","Balaenoptera acutorostrata","Minke whale",55.88027778,-4.8894444,"Argyll and Bute",2012,"28/07/2012"
"4270","SW2012/557","Globicephala melas","Long-finned pilot whale",56.48138889,-6.4288889,"Argyll and Bute",2012,"01/08/2012"
"4271","SW2012/554","Balaenoptera acutorostrata","Minke whale",57.45444444,-6.0152778,"Highland",2012,"01/08/2012"
"4272","SW2012/350","Grampus griseus","Risso's dolphin",58.41861111,-6.4594444,"Western Isles",2012,"06/08/2012"
"4273","SW2012/351","Globicephala melas","Long-finned pilot whale",57.63611111,-3.7511111,"Highland",2012,"07/08/2012"
"4274","SW2012/349","Tursiops truncatus","Bottlenose dolphin",56.60583333,-6.3227778,"Argyll and Bute",2012,"08/08/2012"
"4275","SW2012/381","Balaenoptera acutorostrata","Minke whale",57.04777778,-7.1294444,"Western Isles",2012,"08/08/2012"
"4276","SW2012/354","Tursiops truncatus","Bottlenose dolphin",57.58638889,-3.9222222,"Moray",2012,"12/08/2012"
"4277","SW2012/359","Mesoplodon bidens","Sowerby's beaked whale",56.05444444,-3.635,"Fife",2012,"14/08/2012"
"4278","SW2012/361","Phocoena phocoena","Harbour porpoise",56.3525,-2.8077778,"Fife",2012,"14/08/2012"
"4279","SW2012/360","Phocoena phocoena","Harbour porpoise",56.54305556,-2.6180556,"Aberdeenshire",2012,"16/08/2012"
"4281","SW2012/388","Balaenoptera acutorostrata","Minke whale",58.08634,-5.838816,"Highland",2012,"22/08/2012"
"4282","SW2012/383","Lagenorhynchus albirostris","White-beaked dolphin",57.58194444,-4.0580556,"Highland",2012,"23/08/2012"
"4285","SW2012/386","Phocoena phocoena","Harbour porpoise",56.3025,-2.6419444,"Fife",2012,"26/08/2012"
"4286","SW2012/385","Balaenoptera acutorostrata","Minke whale",58.49138889,-6.2272222,"Western Isles",2012,"27/08/2012"
"4287","SW2012/572","Lagenorhynchus albirostris","White-beaked dolphin",58.915,-2.7838889,"Orkney",2012,"28/08/2012"
"4288","SW2012/392","Lagenorhynchus acutus","Atlantic white-sided dolphin",58.91583333,-2.7761111,"Orkney",2012,"01/09/2012"
"4289","SW2012/397","Balaenoptera acutorostrata","Minke whale",56.61555556,-2.4819444,"Angus",2012,"01/09/2012"
"4290","SW2012/370","Globicephala melas","Long-finned pilot whale",56.215,-2.7180556,"Fife",2012,"02/09/2012"
"4321","SW2012/371","Globicephala melas","Long-finned pilot whale",55.98972222,-3.1822222,"City of Edinburgh",2012,"03/09/2012"
"4322","SW2012/379","Globicephala melas","Long-finned pilot whale",56.215,-2.7186111,"Fife",2012,"08/09/2012"
"4323","SW2012/384","Globicephala melas","Long-finned pilot whale",55.98,-3.1552778,"City of Edinburgh",2012,"10/09/2012"
"4324","SW2012/393","Balaenoptera acutorostrata","Minke whale",57.86277778,-6.9930556,"Western Isles",2012,"12/09/2012"
