"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"9036","SW2012/502","Phocoena phocoena","Harbour porpoise",50.34611111,-4.6922222,"Cornwall",2012,"24/11/2012"
"9037","SW2012/533","Phocoena phocoena","Harbour porpoise",50.34527778,-4.6894444,"Cornwall",2012,"25/11/2012"
"9038","SW2012/531","Phocoena phocoena","Harbour porpoise",50.12777778,-5.4916667,"Cornwall",2012,"25/11/2012"
"9039","SW2012/491","Phocoena phocoena","Harbour porpoise",50.80833333,-0.3713889,"West Sussex",2012,"25/11/2012"
"9040","SW2012/500","Phocoena phocoena","Harbour porpoise",54.09055556,-3.1305556,"Cumbria",2012,"26/11/2012"
"9041","SW2012/532","Delphinus delphis","Short-beaked common dolphin",50.36444444,-4.3894444,"Cornwall",2012,"26/11/2012"
"9042","SW2012/504","Phocoena phocoena","Harbour porpoise",55.42694444,-1.5805556,"Northumberland",2012,"28/11/2012"
"9043","SW2012/506","Balaenoptera acutorostrata","Minke whale",50.12305556,-5.4716667,"Cornwall",2012,"30/11/2012"
"9044","SW2012/507","Phocoena phocoena","Harbour porpoise",50.19416667,-5.4388889,"Cornwall",2012,"02/12/2012"
"9045","SW2012/508","Phocoena phocoena","Harbour porpoise",50.07916667,-5.6977778,"Cornwall",2012,"03/12/2012"
"9046","SW2012/509","Delphinus delphis","Short-beaked common dolphin",50.35527778,-5.1566667,"Cornwall",2012,"04/12/2012"
"9047","SW2012/535","Delphinus delphis","Short-beaked common dolphin",50.35527778,-5.1566667,"Cornwall",2012,"05/12/2012"
"9048","SW2012/536","Delphinus delphis","Short-beaked common dolphin",50.3725,-5.1508333,"Cornwall",2012,"07/12/2012"
"9049","SW2012/537","Delphinus delphis","Short-beaked common dolphin",50.35166667,-5.1577778,"Cornwall",2012,"07/12/2012"
"9050","SW2012/538","Delphinus delphis","Short-beaked common dolphin",50.36055556,-5.1555556,"Cornwall",2012,"07/12/2012"
"9051","SW2012/512","Phocoena phocoena","Harbour porpoise",52.19194444,1.6219444,"Suffolk",2012,"07/12/2012"
"9052","SW2012/513","Phocoena phocoena","Harbour porpoise",54.10361111,-0.1180556,"East Riding of Yorkshire",2012,"07/12/2012"
"9053","SW2012/514","Phocoena phocoena","Harbour porpoise",53.24416667,0.3372222,"Lincolnshire",2012,"09/12/2012"
"9054","SW2012/515","Phocoena phocoena","Harbour porpoise",52.10694444,-4.7005556,"Pembrokeshire",2012,"11/12/2012"
"9055","SW2012/516","Phocoena phocoena","Harbour porpoise",51.37833333,1.2741667,"Kent",2012,"11/12/2012"
"9056","SW2012/517","Phocoena phocoena","Harbour porpoise",50.04277778,-5.6502778,"Cornwall",2012,"12/12/2012"
"9057","SW2012/527","Phocoena phocoena","Harbour porpoise",52.68833333,-4.0572222,"Gwynedd",2012,"12/12/2012"
"9058","SW2012/520","Phocoena phocoena","Harbour porpoise",50.44555556,-5.0430556,"Cornwall",2012,"13/12/2012"
"9059","SW2012/552","Phocoena phocoena","Harbour porpoise",55.17,-6.8208333,"Derry",2012,"13/12/2012"
"9060","SW2012/560","Phocoena phocoena","Harbour porpoise",50.14138889,-5.0752778,"Cornwall",2012,"13/12/2012"
"9061","SW2012/518","Lagenorhynchus albirostris","White-beaked dolphin",54.20833333,-0.2819444,"North Yorkshire",2012,"14/12/2012"
"9062","SW2012/519","Phocoena phocoena","Harbour porpoise",50.61611111,-3.4197222,"Devon",2012,"14/12/2012"
"9063","SW2012/521","Delphinus delphis","Short-beaked common dolphin",50.08861111,-5.6872222,"Cornwall",2012,"16/12/2012"
"9064","SW2012/522","Phocoena phocoena","Harbour porpoise",50.53861111,-5.0263889,"Cornwall",2012,"16/12/2012"
"9065","SW2012/523","Phocoena phocoena","Harbour porpoise",50.3325,-4.5775,"Cornwall",2012,"17/12/2012"
"9066","SW2012/524","Phocoena phocoena","Harbour porpoise",50.36055556,-4.3611111,"Cornwall",2012,"21/12/2012"
"9067","SW2012/529","Phocoena phocoena","Harbour porpoise",51.59527778,-3.8197222,"Neath Port Talbot",2012,"23/12/2012"
"9068","SW2012/525","Delphinus delphis","Short-beaked common dolphin",50.05416667,-5.6930556,"Cornwall",2012,"27/12/2012"
"9069","SW2012/534","Delphinus delphis","Short-beaked common dolphin",50.62277778,-2.1944444,"Dorset",2012,"27/12/2012"
"9070","SW2012/561","Phocoena phocoena","Harbour porpoise",53.22694444,0.3466667,"Lincolnshire",2012,"29/12/2012"
"9071","SW2012/530","Globicephala melas","Long-finned pilot whale",51.60472222,-4.3038889,"Swansea",2012,"30/12/2012"
"9072","SW2013/1","Phocoena phocoena","Harbour porpoise",52.97527778,1.0183333,"Norfolk",2013,"02/01/2013"
"9073","SW2013/9","Grampus griseus","Risso's dolphin",49.45166667,-2.6625,"Guernsey",2013,"04/01/2013"
"9074","SW2013/5","Phocoena phocoena","Harbour porpoise",50.72861111,-4.6516667,"Cornwall",2013,"04/01/2013"
"9075","SW2013/2","Phocoena phocoena","Harbour porpoise",51.7025,-4.3594444,"Carmarthenshire",2013,"05/01/2013"
"9076","SW2013/3","Phocoena phocoena","Harbour porpoise",51.68472222,-4.3441667,"Carmarthenshire",2013,"05/01/2013"
"9077","SW2013/6","Delphinus delphis","Short-beaked common dolphin",50.34138889,-4.4627778,"Cornwall",2013,"06/01/2013"
"9078","SW2013/12","Phocoena phocoena","Harbour porpoise",55.21,-6.6508333,"Antrim",2013,"07/01/2013"
"9079","SW2013/4","Delphinus delphis","Short-beaked common dolphin",50.28361111,-3.8983333,"Devon",2013,"07/01/2013"
"9080","SW2013/7","Phocoena phocoena","Harbour porpoise",52.46,1.7425,"Suffolk",2013,"08/01/2013"
"9081","SW2013/8","Phocoena phocoena","Harbour porpoise",52.59194444,-4.1088889,"Gwynedd",2013,"09/01/2013"
"9082","SW2013/16","Phocoena phocoena","Harbour porpoise",50.28361111,-3.8983333,"Devon",2013,"12/01/2013"
"9083","SW2013/10","Phocoena phocoena","Harbour porpoise",50.10388889,-5.5444444,"Cornwall",2013,"13/01/2013"
