,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date
141,Lagenorhynchus albirostris,White-beaked dolphin,54.57274628,-0.895402129,Yorkshire,1915,22/07/1915
142,Balaenoptera acutorostrata,Minke whale,51.57081183,-4.285902338,"Glamorgan, Wales",1915,04/08/1915
143,Phocoena phocoena,Harbour porpoise,54.49259357,-0.618079573,Yorkshire,1915,05/08/1915
144,Mesoplodon bidens,Sowerby's Beaked whale,57.48919851,-4.230700216,"Inverness-shire, Scotland",1915,13/08/1915
145,Delphinus delphis,Common dolphin,49.96687316,-6.312546229,Cornwall,1915,13/09/1915
146,Delphinus delphis,Common dolphin,49.96687316,-6.312546229,Cornwall,1915,13/09/1915
147,Delphinus delphis,Common dolphin,49.96687316,-6.312546229,Cornwall,1915,13/09/1915
148,Delphinus delphis,Common dolphin,49.96687316,-6.312546229,Cornwall,1915,13/09/1915
149,Delphinus delphis,Common dolphin,49.96687316,-6.312546229,Cornwall,1915,13/09/1915
150,Phocoena phocoena,Harbour porpoise,51.40918226,0.735191481,Kent,1915,17/09/1915
151,Unknown odontocete,Unknown odontocete,51.95978874,1.355362459,Suffolk,1915,22/09/1915
152,Balaenoptera acutorostrata,Minke whale,53.99541628,-0.204344963,Yorkshire,1915,21/10/1915
153,Delphinus delphis,Common dolphin,50.78556571,-0.630903629,Sussex,1915,26/10/1915
154,Unknown odontocete,Unknown odontocete,51.6434,-8.5394,"Cork, EIRE",1915,11/12/1915
155,Delphinus delphis,Common dolphin,55.1909,-7.9787,"Donegal, EIRE",1915,22/12/1915
156,Balaenoptera musculus,Blue whale,56.10715623,-6.191858507,"Argyllshire, Scotland",1916,NA
157,Ziphius cavirostris,Cuvier's Beaked whale,54.5856,-8.4291,"Donegal, EIRE",1916,22/01/1916
158,Lagenorhynchus albirostris,White-beaked dolphin,53.19988763,0.355203519,Lincolnshire,1916,04/02/1916
159,Balaenoptera physalus,Fin whale,51.1310378,-4.236951266,Devon,1916,10/02/1916
160,Phocoena phocoena,Harbour porpoise,56.73146482,-2.286047227,"Angus, Scotland",1916,10/03/1916
161,Orcinus orca,Killer whale,54.86824121,-3.737613736,"Kirkcudbrightshire, Scotland",1916,23/05/1916
162,Tursiops truncatus,Bottlenose dolphin,52.85714589,-4.124150858,"Merioneth, Wales",1916,26/05/1916
163,Balaenoptera acutorostrata,Minke whale,50.34783678,-5.155961868,Cornwall,1916,05/06/1916
164,Ziphius cavirostris,Cuvier's Beaked whale,50.4434525,-5.045387207,Cornwall,1916,07/06/1916
165,Lagenorhynchus acutus,White-sided dolphin,54.276,-9.0601,"Sligo, EIRE",1916,09/06/1916
166,Tursiops truncatus,Bottlenose dolphin,50.63108829,-1.403966883,Isle of Wight,1916,22/06/1916
167,Phocoena phocoena,Harbour porpoise,50.81116909,0.356505279,Sussex,1916,07/07/1916
168,Phocoena phocoena,Harbour porpoise,50.81116909,0.356505279,Sussex,1916,07/07/1916
169,Phocoena phocoena,Harbour porpoise,50.81116909,0.356505279,Sussex,1916,08/07/1916
170,Phocoena phocoena,Harbour porpoise,52.1823,-6.8288,"Wexford, EIRE",1916,13/07/1916
171,Unknown odontocete,Unknown odontocete,53.90930466,-0.157794745,Yorkshire,1916,25/07/1916
172,Hyperoodon ampullatus,Bottlenose whale,56.49887236,-2.706679744,"Angus, Scotland",1916,07/08/1916
173,Tursiops truncatus,Bottlenose dolphin,53.24363791,-4.586964231,"Anglesey, Gwynedd, Wales",1916,16/08/1916
174,Phocoena phocoena,Harbour porpoise,54.57274628,-0.895402129,Yorkshire,1916,24/08/1916
175,Balaenoptera acutorostrata,Minke whale,56.06028208,-2.722728493,"Berwick, Scotland",1916,26/08/1916
176,Physeter macrocephalus,Sperm whale,53.3986,-9.9196,"Galway, EIRE",1916,04/09/1916
177,Mesoplodon bidens,Sowerby's Beaked whale,53.20808992,0.349662326,Lincolnshire,1916,05/09/1916
178,NA,NA,53.146,0.354,Lincolnshire,1916,05/09/1916
179,NA,NA,NA,NA,"Orkney Islands, Scotland",1916,NA
180,Hyperoodon ampullatus,Bottlenose whale,57.48869265,-7.049177082,"Western Isles, Scotland",1916,03/10/1916
181,NA,NA,50.91138997,0.934977418,Kent,1916,13/10/1916
182,Delphinus delphis,Common dolphin,50.59912401,-2.508722056,Dorset,1916,15/10/1916
183,Balaenoptera acutorostrata,Minke whale,58.59137055,-3.071840318,"Caithness, Scotland",1916,18/10/1916
184,Unknown balaenoptera,Unknown balaenopterid,55.2445,-7.5208,"Donegal, EIRE",1916,09/10/1916
185,NA,NA,54.49549952,-0.636512534,Yorkshire,1916,08/12/1916
186,NA,NA,53.4906,-10.0289,"Galway, EIRE",1916,28/12/1916
187,Phocoena phocoena,Harbour porpoise,55.1902,-7.9192,"Donegal, EIRE",1917,20/03/1917
188,Lagenorhynchus albirostris,White-beaked dolphin,55.1823,-7.8915,"Donegal, EIRE",1917,23/03/1917
189,NA,NA,53.5985,-9.9512,"Galway, EIRE",1917,26/03/1917
190,Physeter macrocephalus,Sperm whale,58.27694943,-3.357343134,"Caithness, Scotland",1917,23/05/1917
191,Lagenorhynchus acutus,White-sided dolphin,53.12272752,0.346496866,Lincolnshire,1917,28/05/1917
192,NA,NA,50.78556571,-0.630903629,Sussex,1917,02/06/1917
193,Mesoplodon mirus,True's Beaked whale,52.9357,-9.3944,"Clare, EIRE",1917,09/06/1917
194,NA,NA,50.72345213,-0.788576019,Sussex,1917,14/06/1917
195,Phocoena phocoena,Harbour porpoise,50.81116909,0.356505279,Sussex,1917,15/06/1917
196,Tursiops truncatus,Bottlenose dolphin,50.73848514,-0.764092942,Sussex,1917,26/06/1917
197,Tursiops truncatus,Bottlenose dolphin,50.73848514,-0.764092942,Sussex,1917,26/06/1917
198,Tursiops truncatus,Bottlenose dolphin,50.69648818,-1.086648668,Isle of Wight,1917,30/06/1917
199,Phocoena phocoena,Harbour porpoise,53.14503612,0.355191236,Lincolnshire,1917,07/07/1917
200,Phocoena phocoena,Harbour porpoise,53.34364192,0.268462387,Lincolnshire,1917,09/07/1917
201,Hyperoodon ampullatus,Bottlenose whale,58.60896274,-3.549227637,"Caithness, Scotland",1917,26/07/1917
202,Phocoena phocoena,Harbour porpoise,50.91354286,0.92088301,Kent,1917,28/07/1917
203,Balaenoptera acutorostrata,Minke whale,55.93969745,-2.349030661,"Berwickshire, Scotland",1917,01/08/1917
204,Unknown balaenoptera,Unknown balaenopterid,56.00204462,-2.508353571,"E.Lothian, Scotland",1917,02/08/1917
205,Delphinus delphis,Common dolphin,50.55800811,-2.446156052,Dorset,1917,11/08/1917
206,Tursiops truncatus,Bottlenose dolphin,53.9834409,-3.064542598,Lancashire,1917,08/08/1917
207,Grampus griseus,Risso's dolphin,50.51765336,-3.505227821,Devon,1917,NA
208,Delphinus delphis,Common dolphin,50.59912401,-2.508722056,Dorset,1917,16/08/1917
