,Year,Species,Total_events
635,1980,Globicephala melas,15
636,1980,Grampus griseus,5
637,1980,Kogia breviceps,1
638,1980,Lagenorhynchus albirostris,4
639,1980,Orcinus orca,1
640,1980,Phocoena phocoena,11
641,1980,Physeter macrocephalus,3
642,1980,Tursiops truncatus,1
643,1981,Balaenoptera acutorostrata,4
644,1981,Balaenoptera physalus,1
645,1981,Delphinus delphis,10
646,1981,Globicephala melas,9
647,1981,Grampus griseus,9
648,1981,Hyperoodon ampullatus,1
649,1981,Lagenorhynchus acutus,4
650,1981,Lagenorhynchus albirostris,8
651,1981,Mesoplodon bidens,1
652,1981,Orcinus orca,1
653,1981,Phocoena phocoena,25
654,1981,Stenella coeruleoalba,2
655,1981,Tursiops truncatus,1
656,1981,Ziphius cavirostris,1
657,1982,Balaenoptera acutorostrata,8
658,1982,Delphinus delphis,9
659,1982,Globicephala melas,21
660,1982,Grampus griseus,2
661,1982,Hyperoodon ampullatus,1
662,1982,Lagenorhynchus acutus,1
663,1982,Lagenorhynchus albirostris,6
664,1982,Megaptera novaeangliae,1
665,1982,Mesoplodon bidens,1
666,1982,Phocoena phocoena,15
667,1982,Physeter macrocephalus,1
668,1982,Stenella coeruleoalba,1
669,1982,Tursiops truncatus,3
670,1982,Ziphius cavirostris,2
671,1983,Balaenoptera acutorostrata,3
672,1983,Balaenoptera physalus,1
673,1983,Delphinus delphis,14
674,1983,Globicephala melas,14
675,1983,Grampus griseus,5
676,1983,Hyperoodon ampullatus,1
677,1983,Lagenorhynchus acutus,1
678,1983,Lagenorhynchus albirostris,4
679,1983,Mesoplodon bidens,2
680,1983,Mesoplodon mirus,1
681,1983,Orcinus orca,3
682,1983,Phocoena phocoena,31
683,1983,Physeter macrocephalus,2
684,1983,Stenella coeruleoalba,1
685,1983,Ziphius cavirostris,2
686,1984,Balaenoptera acutorostrata,5
687,1984,Balaenoptera physalus,2
688,1984,Delphinus delphis,7
689,1984,Globicephala melas,6
690,1984,Grampus griseus,2
691,1984,Hyperoodon ampullatus,1
692,1984,Lagenorhynchus acutus,5
693,1984,Mesoplodon bidens,1
694,1984,Orcinus orca,1
695,1984,Phocoena phocoena,10
696,1984,Physeter macrocephalus,2
697,1984,Stenella coeruleoalba,4
698,1985,Balaenoptera acutorostrata,4
699,1985,Balaenoptera physalus,1
700,1985,Delphinus delphis,20
701,1985,Globicephala melas,6
702,1985,Grampus griseus,1
703,1985,Hyperoodon ampullatus,1
704,1985,Kogia breviceps,1
705,1985,Lagenorhynchus acutus,1
706,1985,Lagenorhynchus albirostris,1
707,1985,Megaptera novaeangliae,1
708,1985,Orcinus orca,1
709,1985,Phocoena phocoena,25
710,1985,Physeter macrocephalus,2
711,1985,Stenella coeruleoalba,4
712,1985,Tursiops truncatus,3
713,1985,Ziphius cavirostris,1
714,1986,Balaenoptera acutorostrata,2
715,1986,Delphinus delphis,12
716,1986,Globicephala melas,14
717,1986,Grampus griseus,3
718,1986,Hyperoodon ampullatus,2
719,1986,Lagenorhynchus acutus,4
720,1986,Lagenorhynchus albirostris,9
721,1986,Mesoplodon bidens,1
722,1986,Phocoena phocoena,26
723,1986,Physeter macrocephalus,2
724,1986,Stenella coeruleoalba,9
725,1986,Tursiops truncatus,3
726,1987,Balaenoptera acutorostrata,1
727,1987,Delphinus delphis,10
728,1987,Globicephala melas,17
729,1987,Grampus griseus,2
730,1987,Hyperoodon ampullatus,1
731,1987,Lagenorhynchus acutus,1
732,1987,Lagenorhynchus albirostris,8
733,1987,Mesoplodon bidens,2
734,1987,Mesoplodon mirus,1
735,1987,Orcinus orca,1
736,1987,Phocoena phocoena,35
